geneko	mediaws	media	addtlCpd	growth
fig|208964.1.peg.1229	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.123	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1230	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1231	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1232	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1233	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1234	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1235	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1236	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1237	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1238	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1239	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.124	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1240	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1241	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1242	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1243	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1244	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1245	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1246	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1247	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1248	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1249	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1250	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1251	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1252	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1253	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1254	KBaseMedia	ArgonneLBMedia		1
